barcode,name,quantity
LINMMDE7RJV0172,Elyvate 0.1%W/W,1
LINMMDE7RJV0173,Entamaxin 60 ml 10MG / 250MG / 200MG,1
LINMMDE7RJV0174,Hydrocortisone Acetate Ophthalmic Suspension 1%W,1
LINMMDE7RJV0175,Depo.Lydia 150MG / 1ML,1
LINMMDE7RJW0176,Gripe Water 2.15MG/5ML / 50MG,1
LINMMDE7RJW0177,Blueseal,1
LINMMDE7RJW0178,Cold cap original,1
LINMMDE7RJW0179,Zinc for Adults 20MG,1
LINMMDE7RJW0180,Pharmasal,1
LINMMDE7RJW0181,Bamsi Hair Fertilizer Green 50mg,1
LINMMDE7RJW0182,Depo-Medrol 40MG/1ML,1
LINMMDE7RJW0183,TN502 (30-35),1
LINMMDE7RJW0184,P2 Original,1
LINMMDE7RJW0185,Netazox 500MG,1
LINMMDE7RJW0186,Alugel,1
LINMMDE7RJW0187,Cosgrel,1
LINMMDE7RJW0188,Digoxin 125MCG,1
LINMMDE7RJW0189,Sekrol 15MG/5ML,1
LINMMDE7RJW0190,Fluclox 500mg 500MG,1
LINMMDE7RJW0191,Hitoral 200MG,1
LINMMDE7RJW0192,Coxirav 120MG,1
LINMMDE7RJW0193,Esomod 20mg,1
LINMMDE7RJW0194,Sensodyne Fresh Mint,1
LINMMDE7RJW0195,Lactone 25MG,1
LINMMDE7RJW0196,Etorix 90MG,1
LINMMDE7RJW0197,Enzoflam 50MG / 500MG / 15MG,1
LINMMDE7RJW0198,Vonac Gel 1%W,1
LINMMDE7RJW0199,Medical Envelopes,1
LINMMDE7RJW0200,Betason-S 0.05%W / 3%W,1
LINMMDE7RJW0201,Cypro-B Plus 2MG/1ML / 1MG/5ML / 0.5MG/5ML,1
LINMMDE7RJW0202,Sabezole Drs 30MG / 20MG,1
LINMMDE7RJW0203,Lactulac 10GM/15ML,1
LINMMDE7RJW0204,Flugone 30MG / 300MG / 30MG,1
LINMMDE7RJW0205,Generic 1000MG / 500MG,1
LINMMDE7RJW0206,Futcare Corn Caps 40%,1
LINMMDE7RJW0207,Generic Adult G21,1
LINMMDE7RJW0208,TN553 40-45,1
LINMMDE7RJW0209,Nicof 60MG/5ML / 2MG/5ML / 6MG/5ML,1
LINMMDE7RJW0210,Pylotrip 1GM / 500MG / 30MG,1
LINMMDE7RJW0211,Fluclox 250mg 250MG,1
LINMMDE7RJW0212,Zofran 4MG,1
LINMMDE7RJW0213,Methylated 500ml 90%W,1
LINMMDE7RJW0214,Tfine 1%W/W,1
LINMMDE7RJW0215,Zincos Dispersible 20MG,1
LINMMDE7RJW0216,Artane,1
LINMMDE7RJW0217,Brustan 100MG/5ML / 125MG/5ML,1
LINMMDE7RJW0218,Nice and lovely small,1
LINMMDE7RJW0219,Generic Ointment 2%W,1
LINMMDE7RJW0220,Varinil 5MG,1
LINMMDE7RJW0221,"Crepe Bandage 3""",1
LINMMDE7RJW0222,Plasil syrup 5MG/5ML,1
LINMMDE7RJW0223,Mediven Cream,1
LINMMDE7RJW0224,Remidin 0.2%W,1
LINMMDE7RJW0225,Coramide 2MG,1
LINMMDE7RJW0226,Goldtouch Beauty Cream 5%W,1
LINMMDE7RJW0227,Herbigor Honey & Lemon,1
LINMMDE7RJW0228,colgate 35g,1
LINMMDE7RJW0229,Entamaxin 250MG / 200MG,1
LINMMDE7RJX0230,Pdl syrup,1
LINMMDE7RJX0231,Erocin 500MG,1
LINMMDE7RJX0232,Vermout,1
LINMMDE7RJX0233,Olopat Eye 0.1%W,1
LINMMDE7RJX0234,TN378 (18-23),1
LINMMDE7RJX0235,Otorex 2.7%W / 5%W / 2%W,1
LINMMDE7RJX0236,Dolor Gel 1%W,1
LINMMDE7RJX0237,Lucozid 120 150,1
LINMMDE7RJX0238,T.E.O,1
LINMMDE7RJX0239,KY  6016 (40-45),1
LINMMDE7RJX0240,Cartisafe Forte 250MG / 750MG / 200MG,1
LINMMDE7RJX0241,Drox 500MG,1
LINMMDE7RJX0242,Anomex 0.25%W / 3%W / 0.5%W,1
LINMMDE7RJX0243,Ventolin Inhaler,1
LINMMDE7RJX0244,Ventolin tabs 4MG,1
LINMMDE7RJX0245,Seven Seas,1
LINMMDE7RJX0246,Generic 50GM,1
LINMMDE7RJX0247,Melcam 15mg,1
LINMMDE7RJX0248,hair ring,1
LINMMDE7RJX0249,Oxifast-P 4MG / 500MG,1
LINMMDE7RJX0250,Hydrochlorothiazide 25MG,1
LINMMDE7RJX0251,Qtex,1
LINMMDE7RJX0252,Canazol Vaginal 200MG,1
LINMMDE7RJX0253,Nice and lovely 360ml kubwa,1
LINMMDE7RJX0254,Nervi Doc 50MG,1
LINMMDE7RJX0255,Funbact-A 0.05%W / 1%W/W / 0.5%W/W,1
LINMMDE7RJX0256,Phenobarbital,1
LINMMDE7RJX0257,Kitchen Towel,1
LINMMDE7RJX0258,Glucophage 1000MG,1
LINMMDE7RJX0259,Olastar,1
LINMMDE7RJX0260,Good Morning,1
LINMMDE7RJX0261,Gacet 250MG,1
LINMMDE7RJX0262,Piroxicam 20MG,1
LINMMDE7RJX0263,Esomod 40,1
LINMMDE7RJX0264,Ridon,1
LINMMDE7RJX0265,Osteocare,1
LINMMDE7RJX0266,Gludown,1
LINMMDE7RJX0267,Black Shampo Dexe,1
LINMMDE7RJX0268,Blue Cannula G22,1
LINMMDE7RJX0269,Aceclofenac 100mg,1
LINMMDE7RJX0270,watch,1
LINMMDE7RJX0271,Plain,1
LINMMDE7RJX0272,Hb Test,1
LINMMDE7RJX0273,Ibugesic 100MG/5ML / 125MG/5ML,1
LINMMDE7RJX0274,TML 0.5%W,1
LINMMDE7RJX0275,PCM syrup 10ml 120MG/5ML,1
LINMMDE7RJX0276,Stomacid 120MG / 250MG,1
LINMMDE7RJX0277,Clarythro 500mg,1
LINMMDE7RJX0278,Movit  styling H. Gel Chemical,1
LINMMDE7RJX0279,Ingrams,1
LINMMDE7RJX0280,Clotrine B Cream 0.05%W / 1%W,1
LINMMDE7RJX0281,Talgentis 5MG,1
LINMMDE7RJX0282,Lum-Artrm  Susp 180MG / 1080MG,1
LINMMDE7RJX0283,Neopeptine Rb 20MG / 2MG / 10MG,1
LINMMDE7RJX0284,Waxoff,1
LINMMDE7RJY0285,L-Montus 5MG / 10MG,1
LINMMDE7RJY0286,CPM (Rinovil / Niramin) 4MG,1
LINMMDE7RJY0287,Acnesol Cream 0.05%W,1
LINMMDE7RJY0288,Jointace /  /,1
LINMMDE7RJY0289,Body luxe spray,1
LINMMDE7RJY0290,Bluesal,1
LINMMDE7RJY0291,Natoa,1
LINMMDE7RJY0292,Eflaron Plus syrup 125MG/5ML / 100MG/5ML,1
LINMMDE7RJY0293,Claxyclav 625mg,1
LINMMDE7RJY0294,Sign Kit 1000MG / 500MG / 20MG,1
LINMMDE7RJY0295,loratidine 10mg 10MG,1
LINMMDE7RJY0296,Pink Cannula G20,1
LINMMDE7RJY0297,Femiplan,1
LINMMDE7RJY0298,Diclofenac Sodium Injection 75MG/3ML,1
LINMMDE7RJY0299,Epilim 200MG,1
LINMMDE7RJY0300,valon,1
LINMMDE7RJY0301,Hycin 5MG/5ML,1
LINMMDE7RJY0302,Dulcolax 5MG,1
LINMMDE7RJY0303,Dyrasun 250MG / 200MG,1
LINMMDE7RJY0304,Nil Worm,1
LINMMDE7RJY0305,plasil inj 10MG/2ML,1
LINMMDE7RJY0306,Ranferon 5MCG / 305MG / 0.75MG,1
LINMMDE7RJY0307,Superior SIZE 23,1
LINMMDE7RJY0308,Safe/Choice-72 0.75MG,1
LINMMDE7RJY0309,Concor 5MG,1
LINMMDE7RJY0310,Mefenamic 500MG,1
LINMMDE7RJY0311,Cerecare 500MG,1
LINMMDE7RJY0312,Kaluma Strong Ya kumeza 400MG / 50MG / 200MG,1
LINMMDE7RJY0313,Cetzan-10 10MG,1
LINMMDE7RJY0314,Benzhexol 5MG,1
LINMMDE7RJY0315,Levoflox 500mg 500MG,1
LINMMDE7RJY0316,Atenol 50MG,1
LINMMDE7RJY0317,Seprin 200MG/5ML / 40MG/5ML,1
LINMMDE7RJY0318,Baby Powder,1
LINMMDE7RJY0319,Sulphur 10%W/W,1
LINMMDE7RJY0320,Artemether Injection,1
LINMMDE7RJY0321,Protas 20MG,1
LINMMDE7RJY0322,Dye subaru,1
LINMMDE7RJY0323,Posnide 1%W,1
LINMMDE7RJY0324,Cephastal 125MG/5ML,1
LINMMDE7RJY0325,Generic Paediatric 4MG,1
LINMMDE7RJY0326,Fastum 2.5GM/GM,1
LINMMDE7RJY0327,Nogluc,1
LINMMDE7RJY0328,Amoxil 60ml,1
LINMMDE7RJY0329,Bangle ya mkono,1
LINMMDE7RJY0330,Menthoplus Balm,1
LINMMDE7RJY0331,Glucomet Film Coated 500MG,1
LINMMDE7RJY0332,chain,1
LINMMDE7RJY0333,Dexa eye drops 0.1%W,1
LINMMDE7RJY0334,Cefixime 400mg,1
LINMMDE7RJY0335,KY 60-17,1
LINMMDE7RJY0336,Acirax 5%W/W,1
LINMMDE7RJY0337,Brufen 100ml,1
LINMMDE7RJY0338,Olcort,1
LINMMDE7RJY0339,Arimis Ndogo,1
LINMMDE7RJY0340,Tacrovate 0.3MG/GM,1
LINMMDE7RJY0341,Atstat 20MG,1
LINMMDE7RJY0342,Generic / 500ML,1
LINMMDE7RJZ0343,Nosfree Saline Nasal Drops 0.9%W,1
LINMMDE7RJZ0344,Norash 1.5%W/W / 20%W/W / 7.5%W,1
LINMMDE7RJZ0345,Ribena,1
LINMMDE7RJZ0346,PCM I.V 10MG/1ML,1
LINMMDE7RJZ0347,Tegretol,1
LINMMDE7RJZ0348,Softcare Baby Diaper LARGE,1
LINMMDE7RJZ0349,Fincar 5MG,1
LINMMDE7RJZ0350,Buscopan i.v 20MG/1ML,1
LINMMDE7RJZ0351,PCM 60ml 120MG/5ML,1
LINMMDE7RJZ0352,Ascard,1
LINMMDE7RJZ0353,Vitamin,1
LINMMDE7RJZ0354,Celestamine,1
LINMMDE7RJZ0355,Imaxone,1
LINMMDE7RJZ0356,Watch Kubwa,1
LINMMDE7RJZ0357,Carticare Forte 200MG / 750MG,1
LINMMDE7RJZ0358,Scrubbing brush ndogo,1
LINMMDE7RJZ0359,Glucomet Film Coated 850MG,1
LINMMDE7RJZ0360,Stugeron 25MG,1
LINMMDE7RJZ0361,"Medicrepe 3""",1
LINMMDE7RJZ0362,Cyclopam-P 20MG / 500MG,1
LINMMDE7RJZ0363,Bamsi Styling Hair Gel,1
LINMMDE7RJZ0364,Hydralazine 25MG,1
LINMMDE7RJZ0365,Just Zinc 20MG,1
LINMMDE7RJZ0366,Panadol Extra,1
LINMMDE7RJZ0367,ctx-480mg 400MG / 80MG,1
LINMMDE7RJZ0368,Emitoss 4MG,1
LINMMDE7RJZ0369,Steron 5MG,1
LINMMDE7RJZ0370,Cefuroxime 500mg,1
LINMMDE7RJZ0371,Malaria RDT,1
LINMMDE7RJZ0372,Panadol Advance,1
LINMMDE7RJZ0373,Flatameal Ds 200MG/5ML / 400MG/5ML / 30MG/5ML,1
LINMMDE7RJZ0374,Entamaxin 100ml 10MG / 250MG / 200MG,1
LINMMDE7RJZ0375,Cripton 2.5MG,1
LINMMDE7RJZ0376,Bamsi moulding Gel Wax,1
LINMMDE7RJZ0377,Dexa tabs 0.5MG,1
LINMMDE7RJZ0378,Lobak 250MG / 50MG / 325MG,1
LINMMDE7RJZ0379,Roseleaf ndogo,1
LINMMDE7RJZ0380,Flagyl 200mg 200MG,1
LINMMDE7RJZ0381,Lonet 50MG,1
LINMMDE7RJZ0382,Generic Scored 5MG,1
LINMMDE7RJZ0383,Cefalexin 500mg 500MG,1
LINMMDE7RJZ0384,Tavent CFC Free,1
LINMMDE7RJZ0385,Glycerine,1
LINMMDE7RJZ0386,Lanso H. Pylori 1000MG / 500MG / 20MG,1
LINMMDE7RJZ0387,Carditan,1
LINMMDE7RJZ0388,Lacof Paediatric,1
LINMMDE7RJZ0389,Xarelto 15MG,1
LINMMDE7RJZ0390,Cartilforte 150MG / 300MG,1
LINMMDE7RJZ0391,Pharmasal 0.1%W / 1%W / 5%W,1
LINMMDE7RJZ0392,Indocid,1
LINMMDE7RJZ0393,cerecare plus,1
LINMMDE7RJZ0394,Eye Pencil,1
LINMMDE7RJZ0395,Relcer Gel,1
LINMMDE7RJZ0396,Diagluc 80MG,1
LINMMDE7RJZ0397,Ampiclox 500mg 500mg,1
LINMMDE7RJZ0398,Zink DT Dispersible 20MG,1
LINMMDE7RJZ0399,Parkin 5MG,1
LINMMDE7RJZ0400,BamBamsi Hair Food Yellow 50MG,1
LINMMDE7RK00401,Generic 10%W,1
LINMMDE7RK00402,Lysodol-P,1
LINMMDE7RK00403,Bamsi hair Food yellow ndogo,1
LINMMDE7RK00404,Black rose dye,1
LINMMDE7RK00405,Cypro-B Plus Syrup 2MG/5ML / 1MG/5ML / 0.5MG,1
LINMMDE7RK00406,Scotts Emulsion 72.5MG/15ML / 850IU/15ML / 85IU/15ML,1
LINMMDE7RK00407,Strepsils Regular,1
LINMMDE7RK00408,Skala spray,1
LINMMDE7RK00409,Omega-H3,1
LINMMDE7RK00410,Acyclovir 400mg 400MG,1
LINMMDE7RK00411,Lipstick,1
LINMMDE7RK00412,sifa,1
LINMMDE7RK00413,Cartil Forte 200MG / 500MG,1
LINMMDE7RK00414,Hedex,1
LINMMDE7RK00415,Levocet 10mg 5MG,1
LINMMDE7RK00416,Elastoplast,1
LINMMDE7RK00417,Onecid 250MG/15ML / 200MG/15ML / 250MG/15ML,1
LINMMDE7RK00418,ceregard forte,1
LINMMDE7RK00419,Bamsi styling Gel kubwa clear,1
LINMMDE7RK00420,Fanlar,1
LINMMDE7RK00421,Ciproken,1
LINMMDE7RK00422,Other always,1
LINMMDE7RK00423,Tranzenamic,1
LINMMDE7RK00424,Tricohist,1
LINMMDE7RK00425,Jumbo Roll 800 Sheets,1
LINMMDE7RK00426,Clozole 1%W,1
LINMMDE7RK00427,Amoxil 250mg 250MG,1
LINMMDE7RK00428,Tramadol 50MG,1
LINMMDE7RK00429,Tinisky,1
LINMMDE7RK00430,Amoxil 100ml,1
LINMMDE7RK00431,Non-Absorbable Surgical Needle Suture 26MM / NO.3,1
LINMMDE7RK00432,Salbutamol syrup 60ml 2MG/5ML,1
LINMMDE7RK00433,Dawastin 100000IU/1ML,1
LINMMDE7RK00434,face towel,1
LINMMDE7RK00435,Olastat 5 5MG,1
LINMMDE7RK00436,Relax Mentho Balm,1
LINMMDE7RK00437,Konazol Cream 2%W,1
LINMMDE7RK00438,Bamsi styling H. Gel,1
LINMMDE7RK00439,Cipro-T,1
LINMMDE7RK00440,Buscopan,1
LINMMDE7RK10441,Dawahist 18MG/1ML / 5MG/5ML / 7.5MG/5ML,1
LINMMDE7RK10442,Ashton And Parsons,1
LINMMDE7RK10443,Siclofen Modified Release 200MG,1
LINMMDE7RK10444,Floxapen 125MG/5ML,1
LINMMDE7RK10445,Mtm 50MG,1
LINMMDE7RK10446,Whitfields Ointment 6%W / 3%W,1
LINMMDE7RK10447,Glucomet-N 5MG / 500MG,1
LINMMDE7RK10448,ceregard,1
LINMMDE7RK10449,Povidone Iodine 10%W,1
LINMMDE7RK10450,Cardace 5MG,1
LINMMDE7RK10451,TN190 (40-45),1
LINMMDE7RK10452,Oxifast 8MG / 8MG,1
LINMMDE7RK10453,Azithrosafe,1
LINMMDE7RK10454,AL,1
LINMMDE7RK10455,Diprofos 5MG/2ML,1
LINMMDE7RK10456,Dexa I.V 4MG/1ML,1
LINMMDE7RK10457,DICARD 50mg,1
LINMMDE7RK10458,Probeta-N,1
LINMMDE7RK10459,Pregnancy Hcg Test,1
LINMMDE7RK10460,AMG 30-45,1
LINMMDE7RK10461,Tramadol 100mg 100MG,1
LINMMDE7RK10462,Rubber bands,1
LINMMDE7RK10463,Carditan-H,1
LINMMDE7RK10464,T-Guard,1
LINMMDE7RK10465,Oncosil 250MG,1
LINMMDE7RK10466,gaba 6mg,1
LINMMDE7RK10467,Babycare 25g,1
LINMMDE7RK10468,Lunahist 50MG/5ML / 2MG/5ML / 5MG/5ML,1
LINMMDE7RK10469,Pronerve 750MCG / 75.3MG,1
LINMMDE7RK10470,Ibugesic 100MG/5ML,1
LINMMDE7RK10471,Bonnisan,1
LINMMDE7RK10472,Relcer Gel 365MG / 80MG / 100MG,1
LINMMDE7RK10473,X.pen 2.4 Mega,1
LINMMDE7RK10474,shower cap,1
LINMMDE7RK10475,Ascoril Expectorant,1
LINMMDE7RK10476,Burnox 0.12GM / 5MG,1
LINMMDE7RK10477,Gentamicin Sulfate Injection 80MG/2ML,1
LINMMDE7RK10478,Rocephin Iv 1000MG,1
LINMMDE7RK10479,Gastro Gel,1
LINMMDE7RK10480,Nemocid 250MG,1
LINMMDE7RK10481,Ansell Latex; Non-Powdered MEDIUM,1
LINMMDE7RK10482,cpm 100ml 2MG/5ML,1
LINMMDE7RK10483,Salbutamol 100ml 2MG/5ML,1
LINMMDE7RK10484,Domperidone 1MG/1ML,1
LINMMDE7RK10485,Pekee,1
LINMMDE7RK10486,Calciplex-500 500MG / 250IU,1
LINMMDE7RK10487,Flucloxacillin Sodium Injection 500MG,1
LINMMDE7RK10488,Ranferon-12,1
LINMMDE7RK10489,Comb No Mirror,1
LINMMDE7RK10490,Melcam 7.5mg,1
LINMMDE7RK10491,Toilex 50grams,1
LINMMDE7RK10492,Calpol Infant 120MG/5ML,1
LINMMDE7RK10493,K-Cort,1
LINMMDE7RK10494,Calamine,1
LINMMDE7RK20495,Pregabalin 75MG,1
LINMMDE7RK20496,Zycet,1
LINMMDE7RK20497,Philcorim 60ml,1
LINMMDE7RK20498,Prednisolone / Olsolone/,1
LINMMDE7RK20499,Surgiblade Surgical Blade SIZE 23,1
LINMMDE7RK20500,Clindazed-150 150MG,1
LINMMDE7RK20501,Betason-G 0.1%W / 0.1%W,1
LINMMDE7RK20502,Nosic,1
LINMMDE7RK20503,Lopadol 5MG/1ML,1
LINMMDE7RK20504,"Crepe bandage 200 6""",1
LINMMDE7RK20505,Eno,1
LINMMDE7RK20506,Fish Net,1
LINMMDE7RK20507,Augmentin 800MG / 200MG,1
LINMMDE7RK20508,Limcee 500MG,1
LINMMDE7RK20509,Nice and lovely medium,1
LINMMDE7RK20510,Azithro syrup,1
LINMMDE7RK20511,Ampiclo-Dawa 125MG/5ML / 125MG/5ML,1
LINMMDE7RK20512,Dicard,1
LINMMDE7RK20513,Nystal 100000UNITS/1ML,1
